agonizing,agonising
analyzed,analysed
analyzes,analyses
analyzing,analysing
anemia,anaemia
anemic,anaemic
authorize,authorise
candor,candour
caroling,carolling
cavilers,cavillers
chimeras,chimaeras
chiseled,chiselled
civilized,civilised
clangor,clangour
criticize,criticise
crueler,crueller
cudgeled,cudgelled
deviling,devilling
dialed,dialled
disfavor,disfavour
dueling,duelling
emphasize,emphasise
enameled,enamelled
equaled,equalled
equalized,equalised
fetus,foetus
goiter,goitre
graybeard,greybeard
grayer,greyer
grayest,greyest
grayish,greyish
grueling,gruelling
harmonize,harmonise
jewelers,jewellers
kenneled,kennelled
labeling,labelling
legalized,legalised
leveling,levelling
libeled,libelled
libeler,libeller
linteled,lintelled
medieval,mediaeval
memorized,memorised
moralized,moralised
niter,nitre
organizes,organises
paneling,panelling
paralyzed,paralysed
paralyzes,paralyses
peans,paeans
pedaling,pedalling
penalized,penalised
penciled,pencilled
petaled,petalled
primeval,primaeval
realizing,realising
reveled,revelled
reveling,revelling
rivaled,rivalled
saltpeter,saltpetre
sandaled,sandalled
sepulcher,sepulchre
shoveled,shovelled
signalize,signalise
socialize,socialise
spiraled,spiralled
subsidize,subsidise
tantalize,tantalise
temporize,temporise
terrorize,terrorise
theorized,theorised
tinseled,tinselled
toweled,towelled
toweling,towelling
tyrannize,tyrannise
utilized,utilised
visualize,visualise
vitalized,vitalised
yodeling,yodelling
agonized,agonised
apprizes,apprises
apprizing,apprising
baptized,baptised
exorcized,exorcised
mobilized,mobilised
realized,realised
realizes,realises
dishonor,dishonour
fervor,fervour
neighbor,neighbour
splendor,splendour
tabor,tabour
tenor,tenour
tremor,tremour
valor,valour
vigor,vigour
