word,count,num_authors,original_forms
aaaa,2,1,aaaa
aaaah,2,1,aaaah
aaron,7,4,aaron
aback,32,6,aback
abaddon,1,1,abaddon
abaft,11,4,abaft
abana,8,3,abana
abandon,58,7,abandon
abandoned,221,8,abandoned
abandons,3,3,abandons
abaout,18,1,abaout
abase,7,3,abase
abased,21,4,abased
abasement,16,5,abasement
abases,1,1,abases
abash,1,1,abash
abashed,32,4,abashed
abashment,1,1,abashment
abasing,5,3,abasing
abate,27,5,abate
abated,38,4,abated
abatement,12,5,abatement
abates,1,1,abates
abating,8,2,abating
abattoir,1,1,abattoir
abba,2,2,abba
abbas,2,1,abbas
abbaye,1,1,abbaye
abbazia,1,1,abbazia
abbe,2,1,abbe
abbess,4,3,abbess
abbey,67,6,abbey
abbeys,5,2,abbeys
abbot,34,3,abbot
abbots,4,2,abbots
abbott,2,2,abbott
abbrazza,2,1,abbrazza
abcd,2,1,abcd
abdera,2,1,abdera
abdicate,6,2,abdicate
abdicated,2,2,abdicated
abdomen,18,5,abdomen
abdominal,5,2,abdominal
abdool,1,1,abdool
abdul,12,2,abdul
abdulla,163,1,abdulla
abeakuta,2,1,abeakuta
abeakutic,1,1,abeakutic
abeam,4,2,abeam
abed,18,3,abed
abednego,1,1,abednego
abel,6,3,abel
abelard,24,3,abelard
abenteuer,1,1,abenteuer
aberdeen,1,1,aberdeen
aberrant,1,1,aberrant
abet,1,1,abet
abetted,5,4,abetted
abetting,2,2,abetting
abettor,2,2,abettor
abettors,1,1,abettors
abeyance,8,4,abeyance
abhor,13,6,abhor
abhorre,1,1,abhorre
abhorred,29,6,abhorred
abhorrent,19,3,abhorrent
abhorring,2,2,abhorring
abhors,4,3,abhors
abide,85,7,abide
abided,1,1,abided
abides,4,3,abides
abidest,1,1,abidest
abideth,5,3,abideth
abiding,32,7,abiding
abigail,4,2,abigail
abijah,1,1,abijah
abilities,39,5,abilities
ability,85,7,ability
abinger,1,1,abinger
abington,3,1,abington
abject,34,6,abject
abjection,1,1,abjection
abjectly,4,3,abjectly
abjectus,1,1,abjectus
abjure,1,1,abjure
abjured,2,2,abjured
ablation,1,1,ablation
ablative,1,1,ablative
ablaze,12,6,ablaze
able,792,8,able
ableeding,1,1,ableeding
abler,2,1,abler
ablest,10,2,ablest
abloom,1,1,abloom
abluted,1,1,abluted
ablution,6,3,ablution
ablutions,10,3,ablutions
ably,4,2,ably
abner,9,1,abner
abnormal,42,8,abnormal
abnormals,1,1,abnormals
aboard,275,8,aboard
abode,139,7,abode
abodes,19,5,abodes
abolish,8,2,abolish
abolished,19,4,abolished
abolition,12,4,abolition
abominate,5,2,abominate
aborbed,1,1,aborbed
abord,1,1,abord
aborde,1,1,aborde
aboro,1,1,aboro
abort,1,1,abort
abortion,4,3,abortion
abortions,5,3,abortions
abortive,26,3,abortive
abos,1,1,abos
abound,26,6,abound
abounded,15,3,abounded
aboundest,1,1,aboundest
abounding,39,3,abounding
abounds,9,3,abounds
about,10735,8,about
aboute,2,1,aboute
abouts,2,2,abouts
above,1974,8,above
abox,1,1,abox
abraded,2,2,abraded
abraham,42,5,abraham
abrahamic,2,1,abrahamic
abram,3,2,abram
abrasions,2,1,abrasions
abrazza,78,1,abrazza
abreas,1,1,abreas
abreast,85,4,abreast
abridge,6,2,abridge
abridged,6,3,abridged
abridges,1,1,abridges
abridging,1,1,abridging
abrines,1,1,abrines
abroad,354,8,abroad
abrogated,1,1,abrogated
abrupolis,1,1,abrupolis
abrupt,76,6,abrupt
abruptest,1,1,abruptest
abruptly,151,8,abruptly
abruzzi,1,1,abruzzi
absalom,1,1,absalom
abscond,2,1,abscond
absconded,6,4,absconded
absence,242,8,absence
absences,8,4,absences
absent,151,8,absent
absented,8,4,absented
absentee,3,3,absentee
absentees,1,1,absentees
absenting,2,1,absenting
absently,35,5,absently
absents,1,1,absents
absinthe,3,1,absinthe
absit,1,1,absit
abso,1,1,abso
absolute,240,8,absolute
absolve,6,3,absolve
absolved,7,3,absolved
absolves,1,1,absolves
absolving,3,1,absolving
absorb,27,8,absorb
absorbed,153,8,absorbed
absorber,1,1,absorber
absorbest,1,1,absorbest
absorbing,52,8,absorbing
absorbs,6,3,absorbs
abstain,11,4,abstain
abstained,8,2,abstained
abstainer,1,1,abstainer
abstains,1,1,abstains
abstinent,1,1,abstinent
abstract,91,6,abstract
abstruse,18,5,abstruse
absurd,284,8,absurd
absurdest,3,3,absurdest
absurdity,69,8,absurdity
absurdly,32,5,absurdly
absurdum,7,3,absurdum
abulafia,1,1,abulafia
abundance,110,7,abundance
abundant,66,7,abundant
abune,2,1,abune
abuse,68,6,abuse
abused,56,6,abused
abuser,1,1,abuser
abuses,20,6,abuses
abusing,11,2,abusing
abusive,12,4,abusive
abusively,1,1,abusively
abutment,1,1,abutment
abutted,1,1,abutted
abutting,4,3,abutting
abuttings,1,1,abuttings
abysm,1,1,abysm
abysmal,12,3,abysmal
abysmally,1,1,abysmally
abysms,2,1,abysms
abyss,106,8,abyss
abysses,15,4,abysses
abyssinia,1,1,abyssinia
abyssmal,1,1,abyssmal
abyssward,1,1,abyssward
acabo,2,1,acabo
acacias,1,1,acacias
academe,5,2,academe
academic,10,5,academic
academics,2,1,academics
academies,2,2,academies
academy,46,8,academy
acanthus,3,2,acanthus
acapulco,9,2,acapulco
acardiac,1,1,acardiac
acarty,1,1,acarty
accaount,1,1,accaount
accede,3,2,accede
acceded,13,3,acceded
accent,98,7,accent
accented,8,3,accented
accenting,3,1,accenting
accents,85,7,accents
accentual,1,1,accentual
accep,1,1,accep
accept,158,8,accept
accepted,173,8,accepted
accepting,33,7,accepting
acceptor,1,1,acceptor
accepts,13,7,accepts
access,74,7,access
accessary,1,1,accessary
accesses,4,1,accesses
accession,13,4,accession
accessory,8,3,accessory
accidence,1,1,accidence
accidens,1,1,accidens
accident,259,8,accident
accidents,61,8,accidents
accidia,1,1,accidia
accipe,1,1,accipe
acclaim,2,1,acclaim
acclaimed,1,1,acclaimed
acclimate,1,1,acclimate
acclivity,11,2,acclivity
accolade,2,1,accolade
accompany,54,7,accompany
accompt,1,1,accompt
accord,75,7,accord
accordant,4,1,accordant
accorded,36,6,accorded
according,539,8,according
accordion,4,3,accordion
accords,7,3,accords
accost,17,5,accost
accosted,69,5,accosted
accosting,17,5,accosting
accosts,3,3,accosts
account,912,8,account
accounted,90,6,accounted
accounts,161,8,accounts
accoutred,2,2,accoutred
accretion,1,1,accretion
accro,1,1,accro
accrue,3,2,accrue
accrued,4,2,accrued
accruing,5,3,accruing
acct,2,1,acct
accts,1,1,accts
accuracy,70,8,accuracy
accurate,74,7,accurate
accurs,1,1,accurs
accursed,117,6,accursed
accursing,1,1,accursing
accurst,2,2,accurst
accuse,12,6,accuse
accused,66,6,accused
accuser,9,3,accuser
accuses,1,1,accuses
accusing,16,4,accusing
accustom,3,2,accustom
accustoms,1,1,accustoms
acephali,1,1,acephali
acerbity,2,2,acerbity
aces,2,1,aces
acetic,1,1,acetic
acetous,1,1,acetous
acetylene,1,1,acetylene
achates,4,2,achates
ache,45,7,ache
ached,14,4,ached
acheen,2,1,acheen
acheron,3,2,acheron
aches,10,3,aches
achev,1,1,achev
achieve,60,7,achieve
achieved,86,7,achieved
achieves,4,2,achieves
achieving,13,6,achieving
achille,2,2,achille
achilles,22,6,achilles
achin,1,1,achin
aching,21,5,aching
acian,1,1,acian
acians,1,1,acians
acid,35,7,acid
acidity,1,1,acidity
acids,10,3,acids
acidulous,1,1,acidulous
acis,1,1,acis
acky,1,1,acky
acme,7,3,acme
acolyte,2,2,acolyte
acolytes,3,1,acolytes
acoming,1,1,acoming
aconite,7,2,aconite
aconitine,4,1,aconitine
acorn,3,2,acorn
acorns,8,3,acorns
acoustic,3,2,acoustic
acoustics,2,1,acoustics
acquaint,4,4,acquaint
acquiesce,13,4,acquiesce
acquire,55,6,acquire
acquired,139,8,acquired
acquires,6,4,acquires
acquiring,30,6,acquiring
acquit,11,3,acquit
acquits,1,1,acquits
acquittal,9,5,acquittal
acquitted,22,3,acquitted
acracking,1,1,acracking
acre,62,6,acre
acreage,2,1,acreage
acres,112,7,acres
acrid,29,6,acrid
acridity,2,1,acridity
acridness,1,1,acridness
acrimony,3,3,acrimony
acrobat,5,2,acrobat
acrobatic,7,2,acrobatic
acrobats,5,3,acrobats
acropolis,12,2,acropolis
across,1412,8,across
acrost,9,2,acrost
acrostic,4,3,acrostic
acrostics,2,2,acrostics
actable,2,1,actable
actaeon,2,2,actaeon
acte,2,2,acte
acted,137,8,acted
actest,1,1,actest
actin,1,1,actin
acting,135,8,acting
action,438,8,action
actione,1,1,actione
actions,99,8,actions
actium,6,3,actium
activated,1,1,activated
active,179,8,active
actively,19,6,actively
activity,143,7,activity
actor,84,7,actor
actors,54,7,actors
actress,26,5,actress
actresses,5,3,actresses
acts,135,8,acts
actu,1,1,actu
actual,305,8,actual
actualise,1,1,actualise
actuality,14,5,actuality
actualize,1,1,actualize
actually,374,8,actually
actuary,2,2,actuary
actuate,1,1,actuate
actuated,19,5,actuated
actuates,2,2,actuates
actuating,2,1,actuating
actuly,4,1,actuly
acumen,2,2,acumen
acushla,2,1,acushla
acushnet,4,1,acushnet
acute,73,7,acute
acutely,19,5,acutely
acuteness,21,6,acuteness
acutest,8,3,acutest
adage,9,5,adage
adam,189,7,adam
adamant,13,5,adamant
adami,1,1,adami
adamite,3,1,adamite
adamo,2,2,adamo
adams,25,5,adams
adapt,8,4,adapt
adaptable,3,3,adaptable
adapted,106,8,adapted
adapting,9,5,adapting
adaptive,3,1,adaptive
adare,1,1,adare
adda,1,1,adda
added,1001,8,added
addenda,2,1,addenda
adder,15,5,adder
addered,1,1,addered
adderly,1,1,adderly
adders,8,3,adders
addicted,10,4,addicted
adding,102,8,adding
addington,1,1,addington
addio,3,1,addio
addios,1,1,addios
addish,1,1,addish
addison,5,4,addison
addition,105,7,addition
additions,20,5,additions
addle,2,2,addle
addled,7,4,addled
addlepate,3,1,addlepate
addling,1,1,addling
address,215,8,address
addressed,263,8,addressed
addressee,2,1,addressee
addresser,2,1,addresser
addresses,25,6,addresses
adds,38,8,adds
adduce,4,1,adduce
adduced,6,3,adduced
adduces,1,1,adduces
adeea,1,1,adeea
adelaide,28,5,adelaide
adele,10,1,adele
adeline,1,1,adeline
adelite,1,1,adelite
adelphi,5,3,adelphi
aden,2,1,aden
adenoids,1,1,adenoids
adept,11,5,adept
adepts,9,5,adepts
adequacy,2,2,adequacy
adequate,58,6,adequate
ades,1,1,ades
adhere,11,4,adhere
adhered,20,5,adhered
adherence,6,4,adherence
adherent,4,2,adherent
adherents,11,5,adherents
adheres,3,1,adheres
adhering,14,4,adhering
adhesion,3,2,adhesion
adhesive,6,4,adhesive
adhuc,1,1,adhuc
adiaphane,3,1,adiaphane
adieu,68,7,adieu
adieus,6,2,adieus
adieux,6,4,adieux
adios,6,3,adios
adipose,2,1,adipose
adiposity,3,1,adiposity
adjacent,45,6,adjacent
adjective,5,2,adjective
adjoin,1,1,adjoin
adjoined,2,2,adjoined
adjoining,84,6,adjoining
adjoins,2,1,adjoins
adjourn,15,5,adjourn
adjourned,15,3,adjourned
adjourns,1,1,adjourns
adjudge,4,1,adjudge
adjudged,9,3,adjudged
adjunct,33,4,adjunct
adjuncts,10,4,adjuncts
adjure,1,1,adjure
adjured,4,3,adjured
adjust,11,5,adjust
adjusted,33,6,adjusted
adjusting,30,5,adjusting
adjusts,3,3,adjusts
adjutant,10,2,adjutant
adler,15,1,adler
admetus,1,1,admetus
admirable,172,8,admirable
admirably,55,8,admirably
admiral,146,7,admiral
admirals,36,5,admirals
admiralty,21,5,admiralty
admire,129,8,admire
admired,135,8,admired
admirer,24,6,admirer
admirers,29,6,admirers
admires,10,5,admires
admiring,89,7,admiring
admission,57,7,admission
admit,264,8,admit
admits,23,7,admits
admitted,200,8,admitted
admitting,42,7,admitting
admixture,5,5,admixture
admonish,4,2,admonish
adobe,1,1,adobe
adobes,1,1,adobes
adobies,1,1,adobies
adolf,29,2,adolf
adolph,1,1,adolph
adolphe,2,2,adolphe
adolphus,4,3,adolphus
adommo,1,1,adommo
adon,3,1,adon
adonai,14,2,adonai
adonais,1,1,adonais
adonal,1,1,adonal
adondo,6,1,adondo
adoniram,1,1,adoniram
adonis,14,4,adonis
adonises,1,1,adonises
adopt,65,7,adopt
adopted,119,8,adopted
adopting,18,5,adopting
adoption,23,6,adoption
adopts,11,4,adopts
ador,1,1,ador
adorable,10,4,adorable
adoration,28,6,adoration
adore,32,7,adore
adored,27,5,adored
adorer,1,1,adorer
adorers,2,2,adorers
adores,3,2,adores
adoring,14,4,adoring
adoringly,2,2,adoringly
adorn,28,6,adorn
adorned,74,6,adorned
adorning,10,5,adorning
adornings,3,1,adornings
adornment,34,5,adornment
adorns,3,2,adorns
adout,1,1,adout
adown,26,4,adown
adrastus,1,1,adrastus
adread,1,1,adread
adria,2,1,adria
adrian,14,3,adrian
